Date,Open,High,Low,Close,Adj Close,Volume
2011-11-03,119.0,131.0,112.0,112.0,112.0,370
2011-11-04,112.0,127.0,112.0,114.0,114.0,105
2011-11-07,123.0,123.0,114.0,122.0,122.0,47
2011-11-08,125.0,125.0,122.0,122.0,122.0,66
2011-11-09,122.0,124.0,116.0,122.0,122.0,37
2011-11-10,120.0,125.0,117.0,125.0,125.0,19
2011-11-11,123.0,124.0,113.0,124.0,124.0,64
2011-11-14,123.0,130.0,120.0,129.0,129.0,259
2011-11-15,128.0,148.0,128.0,147.0,147.0,987
2011-11-16,149.0,151.0,138.0,148.0,148.0,397
2011-11-17,148.0,149.0,137.0,146.0,146.0,93
2011-11-18,139.0,145.0,136.0,145.0,145.0,99
2011-11-21,140.0,140.0,132.0,132.0,132.0,249
2011-11-22,131.0,131.0,120.0,120.0,120.0,46
2011-11-23,122.0,129.0,120.0,129.0,129.0,17
2011-11-25,140.0,140.0,125.0,125.0,125.0,19
2011-11-28,125.0,128.0,125.0,125.0,125.0,12
2011-11-29,125.0,125.0,112.0,112.0,112.0,76
2011-11-30,115.0,128.0,110.0,124.0,124.0,178
2011-12-01,128.0,128.0,120.0,120.0,120.0,34
2011-12-02,120.0,120.0,112.0,120.0,120.0,49
2011-12-05,124.0,125.0,106.0,125.0,125.0,170
2011-12-06,125.0,125.0,118.0,118.0,118.0,66
2011-12-07,120.0,122.0,112.0,120.0,120.0,140
2011-12-08,118.0,120.0,115.0,116.0,116.0,57
2011-12-09,117.0,120.0,112.0,112.0,112.0,23
2011-12-12,122.0,125.0,115.0,115.0,115.0,165
2011-12-13,125.0,134.0,112.0,112.0,112.0,283
2011-12-14,114.0,125.0,114.0,125.0,125.0,37
2011-12-15,128.0,128.0,120.0,120.0,120.0,50
2011-12-16,121.0,121.0,112.0,119.0,119.0,25
2011-12-19,124.0,124.0,116.0,116.0,116.0,75
2011-12-20,118.0,120.0,106.0,117.0,117.0,152
2011-12-21,114.0,122.0,114.0,120.0,120.0,47
2011-12-22,120.0,120.0,110.0,111.0,111.0,64
2011-12-23,112.0,121.0,112.0,119.0,119.0,1079
2011-12-27,118.0,125.0,118.0,119.0,119.0,89
2011-12-28,118.0,124.0,112.0,112.0,112.0,106
2011-12-29,121.0,123.0,111.0,111.0,111.0,70
2011-12-30,115.0,130.0,106.0,120.0,120.0,315
2012-01-03,108.0,130.0,108.0,117.0,117.0,205
2012-01-04,120.0,128.0,120.0,123.0,123.0,26
2012-01-05,127.0,129.0,122.0,128.0,128.0,51
2012-01-06,130.0,132.0,127.0,129.0,129.0,103
2012-01-09,129.0,129.0,126.0,126.0,126.0,18
2012-01-10,132.0,132.0,121.0,121.0,121.0,134
2012-01-11,121.0,125.0,121.0,125.0,125.0,76
2012-01-12,115.0,125.0,115.0,125.0,125.0,517
2012-01-13,124.0,124.0,108.0,116.0,116.0,150
2012-01-17,118.0,125.0,115.0,116.0,116.0,201
2012-01-18,115.0,118.0,115.0,118.0,118.0,115
2012-01-19,118.0,119.0,118.0,119.0,119.0,71
2012-01-20,120.0,123.0,118.0,119.0,119.0,138
2012-01-23,120.0,120.0,120.0,120.0,120.0,10
2012-01-24,125.0,126.0,110.0,111.0,111.0,747
2012-01-25,111.0,120.0,110.0,114.0,114.0,77
2012-01-26,119.0,119.0,115.0,118.0,118.0,40
2012-01-27,118.0,125.0,116.0,117.0,117.0,152
2012-01-30,120.0,120.0,116.0,116.0,116.0,104
2012-01-31,119.0,119.0,117.0,119.0,119.0,10
2012-02-01,117.0,117.0,112.0,114.0,114.0,31
2012-02-02,113.0,115.0,113.0,115.0,115.0,36
2012-02-03,113.0,119.0,113.0,117.0,117.0,117
2012-02-06,113.0,113.0,112.0,113.0,113.0,67
2012-02-07,111.0,124.0,110.0,120.0,120.0,193
2012-02-08,117.0,119.0,116.0,116.0,116.0,26
2012-02-09,116.0,117.0,112.0,113.0,113.0,169
2012-02-10,116.0,120.0,115.0,117.0,117.0,54
2012-02-13,113.0,117.0,110.0,114.0,114.0,495
2012-02-14,117.0,117.0,114.0,114.0,114.0,43
2012-02-15,114.0,114.0,114.0,114.0,114.0,27
2012-02-16,116.0,117.0,115.0,117.0,117.0,18
2012-02-17,116.0,117.0,115.0,117.0,117.0,8
2012-02-21,115.0,118.0,112.0,115.0,115.0,154
2012-02-22,118.0,118.0,115.0,117.0,117.0,37
2012-02-23,116.0,118.0,115.0,118.0,118.0,282
2012-02-24,117.0,120.0,117.0,117.0,117.0,89
2012-02-27,119.0,120.0,117.0,118.0,118.0,151
2012-02-28,120.0,127.0,120.0,125.0,125.0,272
2012-02-29,130.0,132.0,123.0,125.0,125.0,702
2012-03-01,125.0,134.0,123.0,134.0,134.0,47
2012-03-02,125.0,126.0,123.0,126.0,126.0,85
2012-03-05,126.0,126.0,125.0,125.0,125.0,175
2012-03-06,125.0,125.0,121.0,121.0,121.0,118
2012-03-07,121.0,121.0,120.0,120.0,120.0,52
2012-03-08,117.0,117.0,115.0,115.0,115.0,49
2012-03-09,115.0,118.0,115.0,117.0,117.0,44
2012-03-12,115.0,120.0,115.0,120.0,120.0,89
2012-03-13,117.0,118.0,116.0,118.0,118.0,46
2012-03-14,117.0,125.0,115.0,116.0,116.0,97
2012-03-15,116.0,116.0,115.0,115.0,115.0,45
2012-03-16,120.0,120.0,115.0,116.0,116.0,28
2012-03-19,116.0,131.0,115.0,120.0,120.0,301
2012-03-20,124.0,128.0,117.0,127.0,127.0,38
2012-03-21,127.0,127.0,121.0,125.0,125.0,113
2012-03-22,125.0,125.0,120.0,123.0,123.0,89
2012-03-23,124.0,130.0,124.0,129.0,129.0,121
2012-03-26,130.0,130.0,123.0,123.0,123.0,54
2012-03-27,120.0,121.0,120.0,120.0,120.0,163
2012-03-28,120.0,130.0,115.0,120.0,120.0,153
2012-03-29,120.0,122.0,120.0,120.0,120.0,170
2012-03-30,120.0,120.0,120.0,120.0,120.0,12
2012-04-02,121.0,127.0,121.0,121.0,121.0,59
2012-04-03,125.0,127.0,125.0,127.0,127.0,10
2012-04-04,126.0,178.0,126.0,147.0,147.0,2182
2012-04-05,155.0,330.0,155.0,205.0,205.0,20462
2012-04-09,223.0,248.0,186.0,190.0,190.0,6147
2012-04-10,209.0,209.0,162.0,165.0,165.0,1774
2012-04-11,164.0,195.0,164.0,165.0,165.0,1654
2012-04-12,170.0,179.0,152.0,154.0,154.0,1069
2012-04-13,158.0,162.0,141.0,148.0,148.0,809
2012-04-16,146.0,164.0,144.0,157.0,157.0,403
2012-04-17,151.0,187.0,148.0,156.0,156.0,1536
2012-04-18,162.0,162.0,145.0,146.0,146.0,521
2012-04-19,147.0,155.0,145.0,152.0,152.0,85
2012-04-20,149.0,155.0,135.0,141.0,141.0,465
2012-04-23,140.0,172.0,140.0,158.0,158.0,758
2012-04-24,161.0,165.0,148.0,155.0,155.0,220
2012-04-25,155.0,179.0,154.0,172.0,172.0,934
2012-04-26,172.0,200.0,162.0,171.0,171.0,3811
2012-04-27,164.0,178.0,157.0,165.0,165.0,410
2012-04-30,170.0,170.0,157.0,159.0,159.0,213
2012-05-01,164.0,164.0,142.0,148.0,148.0,280
2012-05-02,153.0,158.0,141.0,154.0,154.0,170
2012-05-03,158.0,171.0,157.0,167.0,167.0,353
2012-05-04,167.0,167.0,150.0,151.0,151.0,455
2012-05-07,152.0,169.0,152.0,162.0,162.0,331
2012-05-08,168.0,169.0,147.0,152.0,152.0,241
2012-05-09,154.0,167.0,147.0,165.0,165.0,101
2012-05-10,168.0,168.0,150.0,152.0,152.0,120
2012-05-11,148.0,148.0,140.0,144.0,144.0,290
2012-05-14,147.0,155.0,139.0,144.0,144.0,380
2012-05-15,139.0,140.0,116.0,125.0,125.0,603
2012-05-16,131.0,131.0,116.0,116.0,116.0,150
2012-05-17,115.0,120.0,115.0,118.0,118.0,512
2012-05-18,115.0,119.0,110.0,118.0,118.0,330
2012-05-21,115.0,119.0,115.0,116.0,116.0,107
2012-05-22,115.0,118.0,115.0,118.0,118.0,102
2012-05-23,115.0,118.0,113.0,117.0,117.0,66
2012-05-24,115.0,117.0,110.0,111.0,111.0,328
2012-05-25,112.0,112.0,110.0,111.0,111.0,372
2012-05-29,111.0,125.0,111.0,116.0,116.0,381
2012-05-30,116.0,116.0,110.0,112.0,112.0,39
2012-05-31,112.0,112.0,111.0,111.0,111.0,24
2012-06-01,110.0,113.0,110.0,110.0,110.0,322
2012-06-04,110.0,113.0,110.0,113.0,113.0,42
2012-06-05,118.0,119.0,112.0,113.0,113.0,172
2012-06-06,111.0,118.0,111.0,114.0,114.0,63
2012-06-07,118.0,134.0,113.0,122.0,122.0,69
2012-06-08,118.0,123.0,115.0,116.0,116.0,213
2012-06-11,112.0,120.0,111.0,120.0,120.0,157
2012-06-12,113.0,125.0,113.0,122.0,122.0,96
2012-06-13,117.0,125.0,117.0,117.0,117.0,24
2012-06-14,119.0,122.0,110.0,113.0,113.0,303
2012-06-15,115.0,115.0,91.0,98.0,98.0,600
2012-06-18,98.0,107.0,98.0,104.0,104.0,109
2012-06-19,107.0,108.0,102.0,108.0,108.0,116
2012-06-20,110.0,129.0,106.0,117.0,117.0,139
2012-06-21,118.0,118.0,113.0,114.0,114.0,34
2012-06-22,115.0,115.0,111.0,111.0,111.0,37
2012-06-25,110.0,115.0,108.0,110.0,110.0,39
2012-06-26,114.0,114.0,107.0,113.0,113.0,8
2012-06-27,109.0,110.0,109.0,110.0,110.0,33
2012-06-28,103.0,114.0,101.0,114.0,114.0,25
2012-06-29,119.0,119.0,112.0,115.0,115.0,36
2012-07-02,113.0,113.0,104.0,110.0,110.0,71
2012-07-03,113.0,115.0,109.0,115.0,115.0,51
2012-07-05,111.0,115.0,106.0,107.0,107.0,68
2012-07-06,110.0,114.0,110.0,112.0,112.0,3
2012-07-09,110.0,111.0,110.0,110.0,110.0,18
2012-07-10,110.0,110.0,100.0,100.0,100.0,247
2012-07-11,103.0,109.0,103.0,109.0,109.0,31
2012-07-12,109.0,118.0,108.0,111.0,111.0,1023
2012-07-13,115.0,117.0,115.0,115.0,115.0,61
2012-07-16,119.0,120.0,119.0,119.0,119.0,125
2012-07-17,120.0,120.0,118.0,119.0,119.0,27
2012-07-18,116.0,116.0,111.0,113.0,113.0,57
2012-07-19,111.0,111.0,110.0,111.0,111.0,32
2012-07-20,110.0,110.0,110.0,110.0,110.0,4
2012-07-23,110.0,110.0,110.0,110.0,110.0,32
2012-07-24,105.0,110.0,103.0,103.0,103.0,64
2012-07-25,107.0,107.0,105.0,105.0,105.0,21
2012-07-26,105.0,105.0,105.0,105.0,105.0,10
2012-07-27,105.0,105.0,103.0,104.0,104.0,30
2012-07-30,104.0,104.0,101.0,104.0,104.0,85
2012-07-31,105.0,106.0,105.0,105.0,105.0,37
2012-08-01,104.0,104.0,100.0,103.0,103.0,6
2012-08-02,100.0,105.0,100.0,105.0,105.0,52
2012-08-03,103.0,103.0,100.0,103.0,103.0,42
2012-08-06,105.0,105.0,105.0,105.0,105.0,50
2012-08-07,105.0,105.0,104.0,104.0,104.0,10
2012-08-08,104.0,111.0,104.0,107.0,107.0,53
2012-08-09,107.0,107.0,107.0,107.0,107.0,3
2012-08-10,108.0,108.0,107.0,107.0,107.0,11
2012-08-13,106.0,109.0,100.0,106.0,106.0,133
2012-08-14,106.0,108.0,100.0,106.0,106.0,82
2012-08-15,106.0,106.0,105.0,105.0,105.0,18
2012-08-16,105.0,105.0,103.0,104.0,104.0,15
2012-08-17,90.0,105.0,90.0,101.0,101.0,326
2012-08-20,100.0,101.0,93.0,101.0,101.0,234
2012-08-21,101.0,101.0,101.0,101.0,101.0,1
2012-08-22,101.0,104.0,83.0,101.0,101.0,54
2012-08-23,101.0,104.0,101.0,102.0,102.0,33
2012-08-24,102.0,102.0,102.0,102.0,102.0,2
2012-08-27,103.0,103.0,103.0,103.0,103.0,1
2012-08-28,103.0,106.0,91.0,106.0,106.0,52
2012-08-29,105.0,105.0,105.0,105.0,105.0,2
2012-08-30,104.0,104.0,100.0,103.0,103.0,25
2012-08-31,103.0,103.0,103.0,103.0,103.0,0
2012-09-04,100.0,104.0,100.0,101.0,101.0,64
2012-09-05,100.0,103.0,100.0,102.0,102.0,77
2012-09-06,104.0,104.0,99.0,99.0,99.0,83
2012-09-07,100.0,100.0,87.0,100.0,100.0,77
2012-09-10,100.0,100.0,98.0,99.0,99.0,10
2012-09-11,99.0,100.0,89.0,100.0,100.0,120
2012-09-12,100.0,100.0,92.0,100.0,100.0,137
2012-09-13,100.0,100.0,92.0,97.0,97.0,47
2012-09-14,97.0,99.0,86.0,86.0,86.0,412
2012-09-17,97.0,97.0,90.0,90.0,90.0,34
2012-09-18,90.0,97.0,87.0,96.0,96.0,166
2012-09-19,94.0,99.0,90.0,99.0,99.0,132
2012-09-20,93.0,98.0,93.0,96.0,96.0,40
2012-09-21,95.0,95.0,94.0,95.0,95.0,31
2012-09-24,94.0,95.0,94.0,95.0,95.0,8
2012-09-25,94.0,99.0,90.0,92.0,92.0,99
2012-09-26,98.0,98.0,78.0,94.0,94.0,22
2012-09-27,89.0,97.0,89.0,93.0,93.0,29
2012-09-28,91.0,100.0,91.0,100.0,100.0,303
2012-10-01,98.0,109.0,98.0,109.0,109.0,146
2012-10-02,107.0,107.0,98.0,106.0,106.0,71
2012-10-03,105.0,105.0,102.0,102.0,102.0,2
2012-10-04,104.0,104.0,104.0,104.0,104.0,25
2012-10-05,101.0,102.0,98.0,98.0,98.0,26
2012-10-08,101.0,102.0,100.0,100.0,100.0,67
2012-10-09,99.0,99.0,96.0,96.0,96.0,88
2012-10-10,101.0,101.0,83.0,96.0,96.0,59
2012-10-11,97.0,99.0,97.0,97.0,97.0,158
2012-10-12,96.0,97.0,90.0,90.0,90.0,148
2012-10-15,85.0,99.0,85.0,95.0,95.0,109
2012-10-16,102.0,102.0,91.0,91.0,91.0,62
2012-10-17,100.0,100.0,100.0,100.0,100.0,45
2012-10-18,102.0,102.0,102.0,102.0,102.0,18
2012-10-19,102.0,102.0,102.0,102.0,102.0,2
2012-10-22,101.0,101.0,95.0,98.0,98.0,6
2012-10-23,100.0,100.0,99.0,99.0,99.0,6
2012-10-24,100.0,100.0,91.0,95.0,95.0,19
2012-10-25,95.0,95.0,95.0,95.0,95.0,86
2012-10-26,95.0,95.0,95.0,95.0,95.0,22
2012-10-31,96.0,96.0,96.0,96.0,96.0,2
2012-11-01,96.0,96.0,91.0,91.0,91.0,66
2012-11-02,92.0,92.0,92.0,92.0,92.0,34
2012-11-05,91.0,93.0,91.0,93.0,93.0,27
2012-11-06,92.0,96.0,92.0,95.0,95.0,43
2012-11-07,95.0,95.0,86.0,90.0,90.0,323
2012-11-08,92.0,94.0,80.0,94.0,94.0,341
2012-11-09,91.0,92.0,91.0,91.0,91.0,3
2012-11-12,89.0,90.0,89.0,90.0,90.0,13
2012-11-13,90.0,93.0,85.0,85.0,85.0,122
2012-11-14,93.0,93.0,90.0,93.0,93.0,33
2012-11-15,92.0,109.0,92.0,100.0,100.0,377
2012-11-16,91.0,120.0,90.0,99.0,99.0,481
2012-11-19,99.0,100.0,95.0,100.0,100.0,16
2012-11-20,99.0,99.0,99.0,99.0,99.0,2
2012-11-21,100.0,101.0,99.0,101.0,101.0,30
2012-11-23,97.0,99.0,92.0,99.0,99.0,42
2012-11-26,95.0,100.0,95.0,100.0,100.0,86
2012-11-27,99.0,106.0,95.0,101.0,101.0,57
2012-11-28,102.0,104.0,97.0,97.0,97.0,16
2012-11-29,100.0,100.0,85.0,99.0,99.0,216
2012-11-30,95.0,97.0,95.0,97.0,97.0,9
2012-12-03,100.0,118.0,100.0,103.0,103.0,858
2012-12-04,107.0,115.0,100.0,115.0,115.0,240
2012-12-05,100.0,107.0,95.0,106.0,106.0,1767
2012-12-06,106.0,109.0,100.0,109.0,109.0,363
2012-12-07,110.0,115.0,108.0,108.0,108.0,81
2012-12-10,108.0,121.0,107.0,112.0,112.0,1071
2012-12-11,114.0,114.0,103.0,106.0,106.0,180
2012-12-12,112.0,112.0,101.0,109.0,109.0,179
2012-12-13,106.0,111.0,105.0,107.0,107.0,128
2012-12-14,108.0,115.0,107.0,113.0,113.0,445
2012-12-17,113.0,117.0,104.0,108.0,108.0,104
2012-12-18,112.0,112.0,108.0,108.0,108.0,43
2012-12-19,105.0,108.0,104.0,108.0,108.0,33
2012-12-20,104.0,107.0,99.0,107.0,107.0,176
2012-12-21,102.0,107.0,97.0,104.0,104.0,57
2012-12-24,98.0,103.0,97.0,103.0,103.0,8
2012-12-26,108.0,116.0,101.0,109.0,109.0,509
2012-12-27,103.0,107.0,101.0,101.0,101.0,59
2012-12-28,101.0,102.0,101.0,101.0,101.0,52
2012-12-31,98.0,105.0,97.0,99.0,99.0,151
2013-01-02,97.0,107.0,97.0,106.0,106.0,92
2013-01-03,105.0,113.0,100.0,108.0,108.0,53
2013-01-04,106.0,110.0,105.0,110.0,110.0,87
2013-01-07,111.0,111.0,105.0,105.0,105.0,120
2013-01-08,106.0,111.0,106.0,111.0,111.0,68
2013-01-09,111.0,112.0,111.0,112.0,112.0,7
2013-01-10,108.0,110.0,108.0,110.0,110.0,57
2013-01-11,108.0,110.0,108.0,110.0,110.0,9
2013-01-14,108.0,110.0,108.0,110.0,110.0,9
2013-01-15,108.0,110.0,108.0,110.0,110.0,3
2013-01-16,108.0,108.0,108.0,108.0,108.0,51
2013-01-17,107.0,107.0,106.0,106.0,106.0,93
2013-01-18,106.0,109.0,106.0,109.0,109.0,55
2013-01-22,108.0,108.0,108.0,108.0,108.0,2
2013-01-23,106.0,113.0,106.0,110.0,110.0,78
2013-01-24,111.0,111.0,111.0,111.0,111.0,5
2013-01-25,112.0,112.0,109.0,109.0,109.0,10
2013-01-28,108.0,113.0,106.0,109.0,109.0,73
2013-01-29,106.0,110.0,106.0,110.0,110.0,40
2013-01-30,110.0,110.0,107.0,107.0,107.0,4
2013-01-31,106.0,111.0,106.0,107.0,107.0,35
2013-02-01,106.0,106.0,106.0,106.0,106.0,5
2013-02-04,106.0,112.0,106.0,110.0,110.0,188
2013-02-05,112.0,112.0,110.0,110.0,110.0,33
2013-02-06,110.0,110.0,110.0,110.0,110.0,3
2013-02-07,110.0,110.0,110.0,110.0,110.0,47
2013-02-08,113.0,113.0,113.0,113.0,113.0,6
2013-02-11,110.0,110.0,110.0,110.0,110.0,248
2013-02-12,110.0,111.0,110.0,110.0,110.0,38
2013-02-13,112.0,115.0,110.0,110.0,110.0,187
2013-02-14,111.0,111.0,111.0,111.0,111.0,3
2013-02-15,115.0,115.0,110.0,110.0,110.0,74
2013-02-19,115.0,115.0,110.0,110.0,110.0,115
2013-02-20,111.0,111.0,100.0,110.0,110.0,145
2013-02-21,110.0,110.0,110.0,110.0,110.0,0
2013-02-22,110.0,110.0,109.0,110.0,110.0,49
2013-02-25,110.0,112.0,110.0,112.0,112.0,140
2013-02-26,105.0,111.0,105.0,108.0,108.0,119
2013-02-27,108.0,108.0,108.0,108.0,108.0,103
2013-02-28,110.0,110.0,101.0,108.0,108.0,45
2013-03-01,108.0,108.0,108.0,108.0,108.0,0
2013-03-04,109.0,110.0,107.0,109.0,109.0,80
2013-03-05,109.0,111.0,105.0,108.0,108.0,59
2013-03-06,108.0,111.0,105.0,110.0,110.0,129
2013-03-07,108.0,109.0,100.0,109.0,109.0,18
2013-03-08,109.0,109.0,109.0,109.0,109.0,1
2013-03-11,109.0,111.0,109.0,109.0,109.0,46
2013-03-12,109.0,109.0,109.0,109.0,109.0,4
2013-03-13,109.0,109.0,108.0,108.0,108.0,208
2013-03-14,109.0,109.0,108.0,108.0,108.0,6
2013-03-15,108.0,109.0,100.0,109.0,109.0,76
2013-03-18,108.0,110.0,107.0,107.0,107.0,28
2013-03-19,108.0,110.0,108.0,110.0,110.0,56
2013-03-20,109.0,109.0,109.0,109.0,109.0,1
2013-03-21,108.0,109.0,108.0,108.0,108.0,72
2013-03-22,108.0,109.0,105.0,109.0,109.0,221
2013-03-25,94.0,109.0,94.0,107.0,107.0,43
2013-03-26,107.0,107.0,101.0,107.0,107.0,6
2013-03-27,109.0,110.0,109.0,110.0,110.0,25
2013-03-28,107.0,107.0,107.0,107.0,107.0,7
2013-04-01,107.0,107.0,95.0,107.0,107.0,62
2013-04-02,108.0,108.0,106.0,106.0,106.0,28
2013-04-03,108.0,108.0,98.0,106.0,106.0,38
2013-04-04,107.0,107.0,105.0,106.0,106.0,10
2013-04-05,110.0,110.0,92.0,106.0,106.0,90
2013-04-08,110.0,110.0,106.0,106.0,106.0,9
2013-04-09,110.0,110.0,98.0,105.0,105.0,42
2013-04-10,105.0,105.0,105.0,105.0,105.0,7
2013-04-11,96.0,104.0,92.0,94.0,94.0,191
