Symbol,Security,Dictionary_Entry,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded
BMY,Bristol-Myers Squibb,"'Bristol-Myers Squibb': 'BMY',",Health Care,Health Care Distributors,"New York, New York",3/4/1957,1989
BR,Broadridge Financial Solutions,"'Broadridge Financial Solutions': 'BR',",Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1962
BSX,Boston Scientific,"'Boston Scientific': 'BSX',",Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/1995,1979
BWA,BorgWarner,"'BorgWarner': 'BWA',",Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,1880
BXP,Boston Properties,"'Boston Properties': 'BXP',",Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1970
C,Citigroup Inc.,"'Citigroup Inc.': 'C',",Financials,Diversified Banks,"New York, New York",5/31/1988,1998
CAG,Conagra Brands,"'Conagra Brands': 'CAG',",Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,1919
CAH,Cardinal Health Inc.,"'Cardinal Health Inc.': 'CAH',",Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,1971
CARR,Carrier Global,"'Carrier Global': 'CARR',",Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/2020,2020 (1915)
CAT,Caterpillar Inc.,"'Caterpillar Inc.': 'CAT',",Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",3/4/1957,1925
CB,Chubb Limited,"'Chubb Limited': 'CB',",Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,1985
CBOE,Cboe Global Markets,"'Cboe Global Markets': 'CBOE',",Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1973
CBRE,CBRE Group,"'CBRE Group': 'CBRE',",Real Estate,Real Estate Services,"Dallas, Texas",11/10/2006,1906
CCI,Crown Castle,"'Crown Castle': 'CCI',",Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,1994
CCL,Carnival Corp.,"'Carnival Corp.': 'CCL',",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,1972
CDNS,Cadence Design Systems,"'Cadence Design Systems': 'CDNS',",Information Technology,Application Software,"San Jose, California",9/18/2017,1988
CDW,CDW,"'CDW': 'CDW',",Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/2019,1984
CE,Celanese,"'Celanese': 'CE',",Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,1918
CERN,Cerner,"'Cerner': 'CERN',",Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/2010,1979
CF,CF Industries Holdings Inc,"'CF Industries Holdings Inc': 'CF',",Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1946
CFG,Citizens Financial Group,"'Citizens Financial Group': 'CFG',",Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,1828
CHD,Church & Dwight,"'Church & Dwight': 'CHD',",Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,1847
CHRW,C. H. Robinson Worldwide,"'C. H. Robinson Worldwide': 'CHRW',",Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1905
CHTR,Charter Communications,"'Charter Communications': 'CHTR',",Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1993
CI,Cigna,"'Cigna': 'CI',",Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,1982
CINF,Cincinnati Financial,"'Cincinnati Financial': 'CINF',",Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,1950
CL,Colgate-Palmolive,"'Colgate-Palmolive': 'CL',",Consumer Staples,Household Products,"New York, New York",3/4/1957,1806
CMA,Comerica Inc.,"'Comerica Inc.': 'CMA',",Financials,Diversified Banks,"Dallas, Texas",12/1/1995,1849
CMCSA,Comcast Corp.,"'Comcast Corp.': 'CMCSA',",Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/2002,1963
CME,CME Group Inc.,"'CME Group Inc.': 'CME',",Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1848
CMG,Chipotle Mexican Grill,"'Chipotle Mexican Grill': 'CMG',",Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1993
CMI,Cummins Inc.,"'Cummins Inc.': 'CMI',",Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,1919
CMS,CMS Energy,"'CMS Energy': 'CMS',",Utilities,Multi-Utilities,"Jackson, Michigan",5/3/1999,1886
CNC,Centene Corporation,"'Centene Corporation': 'CNC',",Health Care,Managed Health Care,"St. Louis, Missouri",3/30/2016,1984
CNP,CenterPoint Energy,"'CenterPoint Energy': 'CNP',",Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1882
