Symbol,Security,Dictionary_Entry,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded
SO,Southern Company,"southern Company': sO',",Utilities,Electric Utilities,"Atlanta, Georgia",3/4/1957,1945
SPG,Simon Property Group Inc,"simon Property Group Inc': sPG',",Real Estate,Retail REITs,"Indianapolis, Indiana",6/26/2002,2003
SPGI,S&P Global Inc.,"s&P Global Inc.': sPGI',",Financials,Financial Exchanges & Data,"New York, New York",,1917
SRE,Sempra Energy,"sempra Energy': sRE',",Utilities,Multi-Utilities,"San Diego, California",,1998
STE,Steris,"steris': sTE',",Health Care,Health Care Equipment,"Dublin, Ireland",12/23/2019,1985
STT,State Street Corp.,"state Street Corp.': sTT',",Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,1792
STX,Seagate Technology,"seagate Technology': sTX',",Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",7/2/2012,1979
STZ,Constellation Brands,"Constellation Brands': sTZ',",Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/2005,1945
SWK,Stanley Black & Decker,"stanley Black & Decker': sWK',",Industrials,Industrial Machinery,"New Britain, Connecticut",9/30/1982,1843
SWKS,Skyworks Solutions,"skyworks Solutions': sWKS',",Information Technology,Semiconductors,"Woburn, Massachusetts",3/12/2015,2002
SYF,Synchrony Financial,"synchrony Financial': sYF',",Financials,Consumer Finance,"Stamford, Connecticut",11/18/2015,2003
SYK,Stryker Corp.,"stryker Corp.': sYK',",Health Care,Health Care Equipment,"Kalamazoo, Michigan",12/12/2000,1941
T,AT&T Inc.,"'AT&T Inc.': 'T',",Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),1983 (1885)
TAP,Molson Coors Beverage Company,"'Molson Coors Beverage Company': 'TAP',",Consumer Staples,Brewers,"Denver, Colorado",6/30/1976,"2005 (Molson 1786, Coors 1873)"
TDG,TransDigm Group,"'TransDigm Group': 'TDG',",Industrials,Aerospace & Defense,"Cleveland, Ohio",6/3/2016,1993
TDY,Teledyne Technologies,"'Teledyne Technologies': 'TDY',",Industrials,Aerospace & Defense,"Thousand Oaks, California",6/22/2020,1960
TEL,TE Connectivity Ltd.,"'TE Connectivity Ltd.': 'TEL',",Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",10/17/2011,2007
TER,Teradyne,"'Teradyne': 'TER',",Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",9/21/2020,1960
TFC,Truist Financial,"'Truist Financial': 'TFC',",Financials,Regional Banks,"Charlotte, North Carolina",12/4/1997,1872
TFX,Teleflex,"'Teleflex': 'TFX',",Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/2019,1943
TGT,Target Corp.,"'Target Corp.': 'TGT',",Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/1976,1902
TJX,TJX Companies Inc.,"'TJX Companies Inc.': 'TJX',",Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/1985,1987
TMO,Thermo Fisher Scientific,"'Thermo Fisher Scientific': 'TMO',",Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",8/3/2004,2006 (1902)
TMUS,T-Mobile US,"'T-Mobile US': 'TMUS',",Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",7/15/2019,1994
TPR,"Tapestry, Inc.","'Tapestry, Inc.': 'TPR',",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,2017
TRMB,Trimble Inc.,"'Trimble Inc.': 'TRMB',",Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",1/21/2021,1978
TROW,T. Rowe Price Group,"'T. Rowe Price Group': 'TROW',",Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1937
TRV,The Travelers Companies,"'The Travelers Companies': 'TRV',",Financials,Property & Casualty Insurance,"New York, New York",8/21/2002,1853
TSCO,Tractor Supply Company,"'Tractor Supply Company': 'TSCO',",Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1/24/2014,1938
TSLA,"Tesla, Inc.","'Tesla, Inc.': 'TSLA',",Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",12/21/2020,2003
TSN,Tyson Foods,"'Tyson Foods': 'TSN',",Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,1935
TT,Trane Technologies plc,"'Trane Technologies plc': 'TT',",Industrials,Building Products,"Dublin, Ireland",11/17/2010,1871
TTWO,Take-Two Interactive,"'Take-Two Interactive': 'TTWO',",Communication Services,Interactive Home Entertainment,"New York, New York",3/19/2018,1993
TWTR,"Twitter, Inc.","'Twitter, Inc.': 'TWTR',",Communication Services,Interactive Media & Services,"San Francisco, California",6/7/2018,2006
TXN,Texas Instruments,"'Texas Instruments': 'TXN',",Information Technology,Semiconductors,"Dallas, Texas",,1930
TXT,Textron Inc.,"'Textron Inc.': 'TXT',",Industrials,Aerospace & Defense,"Providence, Rhode Island",12/31/1978,1923
TYL,Tyler Technologies,"'Tyler Technologies': 'TYL',",Information Technology,Application Software,"Plano, Texas",6/22/2020,1966
UA,Under Armour (Class C),"'Under Armour (Class C)': 'UA',",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",4/8/2016,1996
UAA,Under Armour (Class A),"'Under Armour (Class A)': 'UAA',",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",5/1/2014,1996
UAL,United Airlines Holdings,"'United Airlines Holdings': 'UAL',",Industrials,Airlines,"Chicago, Illinois",9/3/2015,1967
UDR,"UDR, Inc.","'UDR, Inc.': 'UDR',",Real Estate,Residential REITs,"Highlands Ranch, Colorado",3/7/2016,1972
UHS,Universal Health Services,"'Universal Health Services': 'UHS',",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/2014,1979
ULTA,Ulta Beauty,"'Ulta Beauty': 'ULTA',",Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/2016,1990
UNH,UnitedHealth Group Inc.,"'UnitedHealth Group Inc.': 'UNH',",Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/1994,1977
UNM,Unum Group,"'Unum Group': 'UNM',",Financials,Life & Health Insurance,"Chattanooga, Tennessee",3/1/1994,1999
UPS,United Parcel Service,"'United Parcel Service': 'UPS',",Industrials,Air Freight & Logistics,"Atlanta, Georgia",7/22/2002,1907
URI,"United Rentals, Inc.","'United Rentals, Inc.': 'URI',",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/2014,1997
USB,U.S. Bancorp,"'U.S. Bancorp': 'USB',",Financials,Diversified Banks,"Minneapolis, Minnesota",,1968
V,Visa Inc.,"'Visa Inc.': 'V',",Information Technology,Data Processing & Outsourced Services,"San Francisco, California",12/21/2009,1958
VFC,VF Corporation,"'VF Corporation': 'VFC',",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",6/30/1979,1899
VIAC,ViacomCBS,"'ViacomCBS': 'VIAC',",Communication Services,Movies & Entertainment,"New York, New York",,2019 (1952)
VLO,Valero Energy,"'Valero Energy': 'VLO',",Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1980
VMC,Vulcan Materials,"'Vulcan Materials': 'VMC',",Materials,Construction Materials,"Birmingham, Alabama",6/30/1999,1909
VNO,Vornado Realty Trust,"'Vornado Realty Trust': 'VNO',",Real Estate,Office REITs,"New York, New York",,1982
VRSK,Verisk Analytics,"'Verisk Analytics': 'VRSK',",Industrials,Research & Consulting Services,"Jersey City, New Jersey",10/8/2015,1971
VRSN,Verisign Inc.,"'Verisign Inc.': 'VRSN',",Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2/1/2006,1995
VRTX,Vertex Pharmaceuticals Inc,"'Vertex Pharmaceuticals Inc': 'VRTX',",Health Care,Biotechnology,"Cambridge, Massachusetts",9/23/2013,1989
VTR,Ventas Inc,"'Ventas Inc': 'VTR',",Real Estate,Health Care REITs,"Chicago, Illinois",3/4/2009,1998
VTRS,Viatris,"'Viatris': 'VTRS',",Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",4/23/2004,1961
VZ,Verizon Communications,"'Verizon Communications': 'VZ',",Communication Services,Integrated Telecommunication Services,"New York, New York",11/30/1983,1983 (1877)
WAB,Westinghouse Air Brake Technologies Corp,"'Westinghouse Air Brake Technologies Corp': 'WAB',",Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",2/27/2019,1999 (1869)
WAT,Waters Corporation,"'Waters Corporation': 'WAT',",Health Care,Health Care Distributors,"Milford, Massachusetts",,1958
WBA,Walgreens Boots Alliance,"'Walgreens Boots Alliance': 'WBA',",Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/1979,2014
WDC,Western Digital,"'Western Digital': 'WDC',",Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",7/1/2009,1970
WEC,WEC Energy Group,"'WEC Energy Group': 'WEC',",Utilities,Electric Utilities,"Milwaukee, Wisconsin",10/31/2008,1896
WELL,Welltower Inc.,"'Welltower Inc.': 'WELL',",Real Estate,Health Care REITs,"Toledo, Ohio",1/30/2009,1970
WFC,Wells Fargo,"'Wells Fargo': 'WFC',",Financials,Diversified Banks,"San Francisco, California",6/30/1976,1852
WHR,Whirlpool Corp.,"'Whirlpool Corp.': 'WHR',",Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,1911
WLTW,Willis Towers Watson,"'Willis Towers Watson': 'WLTW',",Financials,Insurance Brokers,"London, United Kingdom",1/5/2016,2016
WM,Waste Management Inc.,"'Waste Management Inc.': 'WM',",Industrials,Environmental & Facilities Services,"Houston, Texas",,1968
WMB,Williams Companies,"'Williams Companies': 'WMB',",Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/31/1975,1908
WMT,Walmart,"'Walmart': 'WMT',",Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/1982,1962
WRB,W. R. Berkley Corporation,"'W. R. Berkley Corporation': 'WRB',",Financials,Property & Casualty Insurance,"Greenwich, Connecticut",12/5/2019,1967
WRK,WestRock,"'WestRock': 'WRK',",Materials,Paper Packaging,"Atlanta, Georgia",,2015
WST,West Pharmaceutical Services,"'West Pharmaceutical Services': 'WST',",Health Care,Health Care Supplies,"Exton, Pennsylvania",5/22/2020,1923
WU,Western Union Co,"'Western Union Co': 'WU',",Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",9/29/2006,1851
WY,Weyerhaeuser,"'Weyerhaeuser': 'WY',",Real Estate,Specialized REITs,"Federal Way, Washington",,1900
WYNN,Wynn Resorts Ltd,"'Wynn Resorts Ltd': 'WYNN',",Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",11/14/2008,2002
XEL,Xcel Energy Inc,"'Xcel Energy Inc': 'XEL',",Utilities,Multi-Utilities,"Minneapolis, Minnesota",3/4/1957,1909
XLNX,Xilinx,"'Xilinx': 'XLNX',",Information Technology,Semiconductors,"San Jose, California",11/8/1999,1984
XOM,Exxon Mobil Corp.,"'Exxon Mobil Corp.': 'XOM',",Energy,Integrated Oil & Gas,"Irving, Texas",3/4/1957,1999
XRAY,Dentsply Sirona,"'Dentsply Sirona': 'XRAY',",Health Care,Health Care Supplies,"Charlotte, North Carolina",11/14/2008,2016 (1969)
XYL,Xylem Inc.,"'Xylem Inc.': 'XYL',",Industrials,Industrial Machinery,"White Plains, New York",11/1/2011,2011
YUM,Yum! Brands Inc,"'Yum! Brands Inc': 'YUM',",Consumer Discretionary,Restaurants,"Louisville, Kentucky",10/6/1997,1997
ZBH,Zimmer Biomet,"'Zimmer Biomet': 'ZBH',",Health Care,Health Care Equipment,"Warsaw, Indiana",8/7/2001,1927
ZBRA,Zebra Technologies,"'Zebra Technologies': 'ZBRA',",Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",12/23/2019,1969
ZION,Zions Bancorp,"'Zions Bancorp': 'ZION',",Financials,Regional Banks,"Salt Lake City, Utah",6/22/2001,1873
ZTS,Zoetis,"'Zoetis': 'ZTS',",Health Care,Pharmaceuticals,"Parsippany, New Jersey",6/21/2013,1952
